Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Audio Lab,Mixer routing/default mixer setup utility,Yet to implement,Medium,Medium,Audio project setup,No mixer setup generator found,Mentioned in audio setup planning.
Audio Lab,Runtime audio cue catalog/director,Yet to implement,High,High,Audio runtime service,No PungentAudioCueCatalogSO/Director found,Future pass in implementation brief.
Audio Lab,Generic AudioSource pool service,Scaffolded,Medium,Medium,Audio runtime service,ContactAudioRouter internal pooling,No standalone PungentAudioSourcePool file.
Audio Lab,Runtime audio hooks for cue playback,Yet to implement,Medium,High,Audio integration,No runtime hook classes found,Planned future audio lab expansion.
Audio Lab,Audio cue coverage module integrated with future director,Yet to implement,High,High,Coverage + runtime integration,Existing coverage windows only,Needs catalog/director model first.
Asset Preview & Export Lab,Prefab Icon Generator,Partially implemented,High,High,Asset presentation/export,PrefabIconGeneratorWindow.cs,Non-blocking preview/export exists; could use bridge polish.
Asset Preview & Export Lab,Prefab Asset Exporter,Partially implemented,High,High,Asset packaging,"PrefabAssetExporter.cs, PrefabAssetExporterWindow.cs",Copies/reuses prefab dependencies; needs release docs/safety validation.
Asset Preview & Export Lab,Font Preview,Partially implemented,Medium,Medium,Asset review,Editor/FontPreviewWindow.cs,"Font/TMP preview workflow exists, but FontPreviewWindow has a compile-time TMPro dependency while the Editor asmdef does not reference TextMeshPro. For standalone shipping, add the dependency explicitly or isolate TMP support in an optional bridge."
Asset Preview & Export Lab,Font licence classification / redistributable font packaging workflow,Yet to implement,Medium,Medium,Asset packaging / font curation,No font licence metadata or font builder workflow found,A previous font archive task required separating commercially redistributable fonts and preserving licence files. This could become a package-prep utility if kept generic.
Asset Preview & Export Lab,Preview/batch render helpers,Scaffolded,Medium,High,Future preview/export,PrefabIconGenerator jobs,No generic batch-render service/lab hub yet.
Asset Preview & Export Lab,Colourway icon generation bridge,Yet to implement,Medium,High,Cross-lab enhancement,No Colour/Preview bridge found,Architecture bible optional hook.
Project Audit & Authoring Lab,Reference Assignment Scanner,Partially implemented,High,High,Generic project QA,ReferenceAssignmentScannerWindow.cs,Strong tool; monolithic and uses broad scans/resources.
Project Audit & Authoring Lab,Terrain Usage Scanner,Partially implemented,High,High,Generic project QA,TerrainUsageScannerWindow.cs,Strong tool; monolithic and scan/cache infra not shared.
Project Audit & Authoring Lab,Component Tuning Copy,Partially implemented,High,Medium,Authoring productivity,ComponentTuningCopyWindow.cs,Dry-run/copy modes; could use deeper docs and adapter recipes.
Project Audit & Authoring Lab,Coverage Matrix,Partially implemented,Medium,Medium,Authoring QA,PungentCoverageMatrixWindow.cs,"Generic coverage model/window exists, but not formal shared visualization module."
Project Audit & Authoring Lab,Token Validator,Partially implemented,Medium,Medium,Text/content QA,PungentTokenValidatorWindow.cs,Validates text tokens; could become Content/Authoring bridge.
Project Audit & Authoring Lab,Tooltip Notes Browser,Partially implemented,Medium,Medium,Documentation/authoring aid,PungentTooltipNotesBrowserWindow.cs,Useful; uses SceneView repainting and lacks full package docs integration.
Project Audit & Authoring Lab,Bulk Rename,Partially implemented,High,Medium,Scene authoring productivity,BulkRenameWindow.cs,Preview/apply exists; legacy Tools/RenameTool alias remains.
Project Audit & Authoring Lab,ScriptableObject generator profile/module base/folder routing,Yet to implement,High,High,SO-heavy project automation,No SO lab files found,Future high-value lab.
Project Audit & Authoring Lab,ScriptableObject validation rules/scanning/repair,Yet to implement,High,High,SO QA,No SO lab files found,"Should extract patterns, not game-specific ability/gacha tools."
Project Audit & Authoring Lab,Batch-create assets from text/CSV/table input,Yet to implement,High,High,Authoring automation,No batch SO importer found,Future SO lab feature.
Project Audit & Authoring Lab,Dependency previews for generated/validated assets,Yet to implement,Medium,High,Authoring safety,No dependency graph preview found,Could link with Visualization Lab.
Content Generation Lab,NameList asset,Fully implemented,Medium,Low,Content generation core,Name Generator/NameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Name List.
Content Generation Lab,MadLibNameList asset,Fully implemented,Medium,Medium,Content generation core,Name Generator/MadLibNameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Mad-Lib Name List.
Content Generation Lab,Name Generator window,Partially implemented,Medium,Medium,Content generation UI,NameGeneratorWindow.cs,Functional but monolithic-ish; future content/token generation not present.
Content Generation Lab,Name presets assets,Fully implemented,Low,Low,Convenience content,Name Generator/Name Presets/*.asset,Boy/girl/nonbinary/community/last names present.
Content Generation Lab,Generic token/text/content generation beyond names,Yet to implement,Medium,High,Future content tools,No broader generator framework found,Mentioned in future lab structure.
UI & Feedback Lab,InputPromptIconLibraryAutoFill editor tool,Partially implemented,High,Medium,Current UI lab seed,InputPromptIconLibraryAutoFill.cs,Editor-only populator exists; relies on serialized names rather than runtime model.
UI & Feedback Lab,Runtime PungentInputPromptIconLibrary,Yet to implement,High,Medium,Input prompt runtime core,No runtime input prompt files found,Planned next UI lab start.
UI & Feedback Lab,Runtime input prompt resolver/token/presenter,Yet to implement,High,High,Input prompt runtime core,No resolver/token/presenter found,Should remain layout-agnostic and Input System optional/guarded.
UI & Feedback Lab,Input prompt preview window/editor,Yet to implement,Medium,Medium,Authoring UX,Only auto-fill window exists,Planned UI lab expansion.
UI & Feedback Lab,World Prompt Registry/Presenter,Yet to implement,Medium,High,Reusable interaction UI,No world prompt files found,Must avoid SkiGame quest/interaction dependencies.
UI & Feedback Lab,Floating Text System,Yet to implement,Medium,Medium,Feedback runtime,No floating text files found,Planned future module.
UI & Feedback Lab,Popup Notification System,Yet to implement,Medium,Medium,Feedback runtime,No popup notification files found,Planned future module.
UI & Feedback Lab,Tooltip Presenter,Yet to implement,Medium,Medium,Feedback runtime,Tooltip notes browser is editor-only,Runtime presenter absent.
UI & Feedback Lab,Right-click Context Menu runtime/editor helper,Yet to implement,Medium,Medium,UI foundation,No generic context menu helper found,Planned future module.
UI & Feedback Lab,UI Animation Trigger/Profile system,Yet to implement,Medium,High,Feedback authoring,No animation profile files found,Planned future module.
UI & Feedback Lab,Radar/Spider Graph VisualElement,Yet to implement,Low,Medium,Visualization/UI widget,No VisualElement graph found,Planned future UI/Visualization item.
UI & Feedback Lab,Generic progress/resource VisualElements,Yet to implement,Medium,Medium,Runtime UI widgets,No runtime visual elements found,Planned future item.
Environment Simulation Lab,PungentWindController core,Yet to implement,High,High,Next new lab candidate,No Environment/Wind files found,Recommended next major non-placement suite.
Environment Simulation Lab,Wind source/weather/time interfaces,Yet to implement,High,Medium,Adapter-friendly environment core,No IPungentWindSource/IPungentWeatherSource/IPungentTimeSource found,Planned in implementation brief.
Environment Simulation Lab,Cloth/Particle/WindZone wind adapters,Yet to implement,Medium,Medium,Unity integration,No wind adapter files found,Planned initial editor/runtime files.
Environment Simulation Lab,Wind Lab window/controller editor,Yet to implement,Medium,Medium,Authoring UX,No wind lab window/editor found,Planned initial editor files.
Environment Simulation Lab,Time & Calendar core,Yet to implement,Medium,High,Reusable simulation service,No time/calendar files found,Planned later module.
Environment Simulation Lab,Weather preset system/transitions,Yet to implement,High,High,Reusable environment authoring,No weather preset files found,"Should use adapters, not old WeatherController directly."
Environment Simulation Lab,Surface condition broadcaster,Yet to implement,High,High,Placement/audio/gameplay bridge,No broadcaster files found,Future module.
Environment Simulation Lab,Local environment volumes,Yet to implement,Medium,High,Scene simulation,No local volume files found,Future module.
Environment Simulation Lab,Environment debugger/preview window,Yet to implement,Medium,Medium,Authoring UX,No environment debugger found,Future module.
Environment Simulation Lab,RenderSettings/URP/skybox/particle/cloud adapters,Yet to implement,Medium,Very High,Optional integrations,No environment adapters found,Must be optional/bridge-based.
Save & Settings Lab,Generic settings profile,Yet to implement,High,Medium,Runtime infrastructure,No settings profile/service files found,Future lab.
Save & Settings Lab,Settings service,Yet to implement,High,High,Runtime infrastructure,No settings service found,Future lab.
Save & Settings Lab,JSON storage utility/versioning,Yet to implement,High,Medium,Persistence infrastructure,No JSON storage utility found,Future lab.
Save & Settings Lab,Save slot manifest/service,Yet to implement,Medium,High,Persistence infrastructure,No save slot service found,Future lab.
Save & Settings Lab,Input binding override storage,Yet to implement,High,Medium,Input/UI bridge,No binding storage found,Future lab; should remain generic.
Action / Ability Authoring Lab,Generic action sequence framework,Yet to implement,High,Very High,Future reusable gameplay authoring,No action framework files found,"Should be inspired by ability/hazard systems, not directly ported."
Action / Ability Authoring Lab,Action conditions/effects/targeting,Yet to implement,High,Very High,Future reusable gameplay authoring,No generic action condition/effect files found,Future lab.
Action / Ability Authoring Lab,Generic projectile/status/hazard modules,Yet to implement,Medium,Very High,Future gameplay authoring,No modules found,Only if redesigned generically.
Combat Move Resolver Lab,MoveDefinition / MoveResolver / ComboState / StyleMeter / context flags,Yet to implement,Medium,High,Future action/trick/combat abstraction,No move resolver files found,Lower priority.
Appearance Lab,Generic appearance option assets/catalog,Yet to implement,Medium,High,Character/customization tooling,No appearance catalog files found,Could link to prefab icon generator and Colour Lab.
Appearance Lab,Wearable attachment/material-color options/option generator,Yet to implement,Medium,High,Customization authoring,No appearance generator files found,Keep shop/progression as project adapters.
Appearance Lab,Appearance catalog validator,Yet to implement,Medium,Medium,Authoring QA,No validator found,Future authoring tool.
Agent Simulation Lab,Utility AI/state/evaluator framework,Yet to implement,Medium,Very High,Generic simulation tools,No agent files found,Must avoid direct NPC/dialogue/quest dependencies.
Agent Simulation Lab,Generic needs/traits/emotions/interaction scoring,Yet to implement,Medium,Very High,Generic simulation tools,No agent/social files found,"Informed by NPC plans, not ported directly."
Agent Simulation Lab,Social group based generic NPC behaviour improvements,Yet to implement,Medium,Very High,Simulation/authoring,No social group files found,Prior SkiGame NPC work should remain project adapter/inspiration.
Visualization Lab,Reusable matrix/graph/heatmap/coverage visualizers,Scaffolded,High,High,Shared UI infrastructure,"CoverageMatrix, palette analysis, texture preview, placement heatmap concepts",No formal visualization lab/shared widget library yet.
Visualization Lab,3D point cloud previews,Yet to implement,Low,High,Advanced visualization,No point cloud preview found,Future visualization idea.
Visualization Lab,Radar graphs,Yet to implement,Low,Medium,UI/visualization,No radar graph files found,Could serve UI Feedback Lab.
Core / Architecture,Design Validation Audit window,Fully implemented,Critical,Medium,Architecture QA gate,"PungentUtilityDesignAudit.cs, PungentUtilityDesignAuditWindow.cs","The audit window scans scripts, registry entries, menu taxonomy, namespaces, asmdefs, CreateAssetMenu roots, layout signals, performance markers, and bundled docs. Future work is configurable rules, user-linked documentation, and project adapter audit profiles."
Core / Architecture,Design Audit user-linkable documentation toolbar,Scaffolded,High,Medium,Project-specific documentation integration,PungentUtilityDesignAuditWindow.cs has fixed Open Design Bible/Open Inventory buttons only,"Requested Design Validation Audit update: replace fixed docs buttons with Link Documentation and allow flexible user/project documentation buttons, preferably in a horizontally scrolling toolbar."
Core / Architecture,Bundled architecture/inventory documentation inside package,Partially implemented,High,Low,Documentation/release support,"Documentation/PungentFunk_Utilities_Architecture_Design_Bible_FULL_DETAIL_CURRENT.pdf, Documentation/PungentFunk_Utilities_Audit_and_Feature_Inventory.md, Documentation/PungentFunk_Utilities_Feature_Inventory.csv","Documentation is bundled, but the docs currently inside the zip are stale: the bundled inventory still reports 94 scripts, 0 namespaces, and 0 asmdefs. Replace them with this updated audit."
Core / Architecture,Runtime/editor asmdef separation,Partially implemented,Critical,Medium,Export hardening,PungentFunk.Utilities.Runtime.asmdef and Editor/PungentFunk.Utilities.Editor.asmdef,"The first bundle-level split exists. Runtime code still includes a guarded UnityEditor reference in ModularPathSpawner, and per-lab/bridge asmdefs remain future work."
Core / Architecture,Registry related-utility links,Fully implemented,High,Low,Cross-lab discoverability,"PungentUtilityDescriptor.RelatedUtilityIds, PungentUtilityRegistry.RelatedUtilities, Control Panel related tool buttons",Registry supports and displays related utilities. It does not yet imply optional bridge/package dependency management.
Core / Architecture,Cached editor-window type resolution,Fully implemented,High,Medium,Launcher stability/performance,PungentUtilityDescriptor.cs,Descriptor caches resolved window types and preserves OpenDirect compatibility.
Asset Placement Lab,Asset Placement Lab hub/window,Partially implemented,Critical,High,Placement lab core,Editor/Asset Placement Lab/AssetPlacementLabWindow.cs,Registered as In Progress and expanded to a 666-line lab hub; still missing planned surface brush/socket graph/cluster/drop/connector/bounds-fill modules.
Colour Lab,Colour palette asset,Fully implemented,High,Medium,Package architecture,Palette Designer/PungentColourPaletteSO.cs,Now uses namespace PungentFunk.Utilities.Colour and standard CreateAssetMenu root PungentFunk Utilities/Colour/Palette.
Environment Simulation Lab,Environment Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Save & Settings Lab,Save & Settings Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Action / Ability Authoring Lab,Action / Ability Authoring Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Agent Simulation Lab,Agent Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Visualization Lab,Visualization Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
