Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Colour Lab,Palette asset + swatch data model,Fully implemented,Critical,Medium,Colour Lab core,"PungentColourPaletteSO.cs, PaletteSwatch.cs",Palette storage and swatch metadata exist.
Colour Lab,Palette generation engine,Partially implemented,Critical,High,Palette creation,"PaletteGeneratorUtility.cs, PaletteGenerationSettings.cs, PaletteDesignerGenerationPanel.cs","Core engine remains, but generation diversity and harmony contrast still need subjective QA."
Colour Lab,Palette panel-first regeneration workflow with collapsed advanced generation options,Partially implemented,High,Medium,Palette Designer UX,PaletteDesignerSwatchGridPanel.cs; PaletteDesignerGenerationPanel.cs; PaletteDesignerToolbar.cs,Palette UI is split into swatch grid/generation/toolbar panels. Needs user testing against the requested palette-panel-first workflow and advanced affordance polish.
Colour Lab,Palette report card analysis,Partially implemented,High,Medium,Palette quality,PaletteAnalysisUtility.cs,Contrast/role/similarity diagnostics exist; not a full report-card UI/export.
Colour Lab,Palette roles and role-aware generation,Partially implemented,High,Medium,Design-system palette output,PaletteSwatchRole + generation role logic,Roles exist; role UI/ordering is basic compared with full desired system.
Colour Lab,Palette save/load/storage utility,Fully implemented,High,Medium,Palette workflow,PungentPaletteStorageUtility.cs,Load selected/save/save as/default paths exist.
Colour Lab,"Recognized standards: Pungent Library, AS 2700, FS 595, BS 381, RAL, ISCC-NBS, NCS, X11, Crayola, Resene, XKCD",Yet to implement,Medium,High,Reference workflow,No reference library datasets found,XKCD/reference standards not present in archive.
Colour Lab,Regenerate individual swatches,Fully implemented,High,Medium,Palette iteration,RegenerateSwatch flow,Disabled for locked swatches.
Colour Lab,Regenerate whole palette while preserving locked swatches,Fully implemented,High,Medium,Palette iteration,RegeneratePaletteUnlocked,Implemented.
Colour Lab,Right-click/context menu for swatches,Fully implemented,High,Medium,Palette iteration,PaletteDesignerWindow.ShowSwatchContextMenu,Lock/regenerate/duplicate/remove/copy actions present.
Colour Lab,Role-based ordering,Partially implemented,Medium,Medium,Palette management,SortSwatches and roles,Sorting exists; full role-first layout not complete.
Colour Lab,Runtime UI Toolkit Colour Inspector panels/UXML/USS,Yet to implement,Medium,Very High,Runtime tool product,No UXML/USS/controller files found,Current archive is IMGUI editor package.
Colour Lab,Scene colour tracker / global scene reference tracking,Yet to implement,Medium,High,Scene design workflow,No scene colour tracker/reference panel files,Mentioned in Colour Inspector planning.
Colour Lab,Sorting options UI,Fully implemented,Medium,Low,Palette management,PaletteDesignerWindow sort buttons,Hue/value/saturation/name-like controls appear present.
Colour Lab,Stronger harmony differentiation and generation diversity,Partially implemented,High,Medium,Palette generation quality,"PaletteGeneratorUtility.cs, ColourHarmonyUtility.cs","Core harmony modes exist, but current outputs reportedly remain too similar across harmony selections. Needs contrast/tone/temperature/role-aware generation improvements."
Colour Lab,Swatch locks,Fully implemented,High,Medium,Palette iteration,PaletteSwatch.locked + UI controls,Locking and locked-count UI exist.
Texture Lab,Density/stamp texture support for placement masks,Partially implemented,Medium,Medium,Texture/Placement bridge,Procedural settings include density maps; placement rule has heatmap,No direct handoff/bridge UI.
Texture Lab,Organic/pattern generation expansion,Partially implemented,Medium,High,Texture generation,ProceduralTextureGenerator.cs,Many pattern modes exist; future organic generators can build on this.
Texture Lab,Palette-to-texture/material-mask generation,Yet to implement,Medium,High,Colour/Texture bridge,No palette bridge found,Listed as future texture lab enhancement.
Texture Lab,Procedural Texture Lab window,Partially implemented,High,High,Texture Lab core,ProceduralTextureLabWindow.cs,Functional preview/generate/export; could still use lab split/docs/bridge polish.
Texture Lab,Procedural texture generator engine,Fully implemented,High,High,Texture generation core,ProceduralTextureGenerator.cs,Pattern/stamp/density/texture creation present.
Texture Lab,Procedural texture settings/runtime-safe model,Fully implemented,High,Medium,Texture generation core,ProceduralTextureSettings.cs,Serializable settings for patterns/stamps/grid/density/etc.
Texture Lab,Texture Array Baker window,Partially implemented,High,High,Asset pipeline,"TextureArrayBakerWindow.cs, TextureArrayBakerUtility.cs",Functional bake workflow; still in Asset menu category rather than Texture Lab menu.
Audio Lab,Audio Catalog Coverage scanner,Partially implemented,High,High,Audio authoring QA,"AudioCoverageWindow.cs plus AudioCoverageCatalogScanner.cs, AudioCoverageScanModels.cs",Catalog scan logic has been extracted. Runtime cue director/catalog remains future work.
Audio Lab,Audio Setup Coverage scanner,Partially implemented,High,High,Audio authoring QA,"AudioCoverageContextWindow.cs plus AudioCoverageContextScanner.cs, AudioCoverageScanModels.cs",Scanner logic has been extracted into a service/model split and can publish PungentScanResult entries. Window is still sizeable but less monolithic.
Audio Lab,Audio clip set asset,Fully implemented,High,Medium,Audio runtime core,Audio Coverage/AudioClipSetSO.cs,Now uses namespace PungentFunk.Utilities.Audio and standard CreateAssetMenu root PungentFunk Utilities/Audio/Clip Set.
Audio Lab,Audio coverage scanner service/model split,Partially implemented,High,Medium,Maintainability / scan infrastructure adoption,AudioCoverageCatalogScanner.cs; AudioCoverageContextScanner.cs; AudioCoverageScanModels.cs,Audio scan logic is now extracted from windows and can populate shared PungentScanResult models.
Audio Lab,Audio cue coverage module integrated with future director,Yet to implement,High,High,Coverage + runtime integration,Existing coverage windows only,Needs catalog/director model first.
Audio Lab,Audio material resolver for colliders/raycast hits/terrain,Fully implemented,High,High,Runtime surface audio,AudioMaterialResolver.cs,Collider/tag/terrain resolution helpers.
Audio Lab,Audio setup coverage profile,Partially implemented,High,High,Coverage validation,Audio Coverage/AudioCoverageProfileSO.cs,"Now uses standard CreateAssetMenu root. Generic profile exists, but some default cue examples may still need review."
Audio Lab,Contact audio router/source pooling/loop instances,Partially implemented,High,High,Runtime audio playback,"ContactAudioRouter.cs, ContactLoopInstance.cs",Core routing/loops exist; full director/catalog integration missing.
Audio Lab,Contact event classifier,Fully implemented,High,Medium,Runtime contact audio,ContactEventClassifier.cs,Classifies impacts/slide/scrape/etc.
Audio Lab,Generic AudioSource pool service,Scaffolded,Medium,Medium,Audio runtime service,ContactAudioRouter internal pooling,No standalone PungentAudioSourcePool file.
Audio Lab,Interaction matrix/profile system,Fully implemented,High,Medium,Runtime surface audio,"AudioInteractionMatrixSO.cs, AudioInteractionProfileSO.cs",Material-pair profile resolution exists.
Audio Lab,Mixer routing/default mixer setup utility,Yet to implement,Medium,Medium,Audio project setup,No mixer setup generator found,Mentioned in audio setup planning.
Audio Lab,Runtime audio cue catalog/director,Yet to implement,High,High,Audio runtime service,No PungentAudioCueCatalogSO/Director found,Future pass in implementation brief.
Audio Lab,Runtime audio hooks for cue playback,Yet to implement,Medium,High,Audio integration,No runtime hook classes found,Planned future audio lab expansion.
Audio Lab,Surface audio material definitions/library/tags,Fully implemented,High,Medium,Runtime surface audio,"AudioSurfaceMaterialSO.cs, AudioMaterialLibrarySO.cs, AudioMaterialTag.cs",Generic surface materials and tags exist.
Audio Lab,Terrain audio material profiles,Fully implemented,High,Medium,Terrain audio,"TerrainAudioMaterialProfileSO.cs, TerrainAudioProfileEditor.cs",Layer bindings and diagnostics exist.
Asset Preview & Export Lab,Colourway icon generation bridge,Yet to implement,Medium,High,Cross-lab enhancement,No Colour/Preview bridge found,Architecture bible optional hook.
Asset Preview & Export Lab,Font Preview,Partially implemented,Medium,Medium,Asset review,Editor/FontPreviewWindow.cs,"Font/TMP preview workflow exists, but FontPreviewWindow has a compile-time TMPro dependency while the Editor asmdef does not reference TextMeshPro. For standalone shipping, add the dependency explicitly or isolate TMP support in an optional bridge."
Asset Preview & Export Lab,Font licence classification / redistributable font packaging workflow,Yet to implement,Medium,Medium,Asset packaging / font curation,No font licence metadata or font builder workflow found,A previous font archive task required separating commercially redistributable fonts and preserving licence files. This could become a package-prep utility if kept generic.
Asset Preview & Export Lab,Prefab Asset Exporter,Partially implemented,High,High,Asset packaging,"PrefabAssetExporter.cs, PrefabAssetExporterWindow.cs",Copies/reuses prefab dependencies; needs release docs/safety validation.
Asset Preview & Export Lab,Prefab Icon Generator,Partially implemented,High,High,Asset presentation/export,PrefabIconGeneratorWindow.cs,Non-blocking preview/export exists; could use bridge polish.
Asset Preview & Export Lab,Preview/batch render helpers,Scaffolded,Medium,High,Future preview/export,PrefabIconGenerator jobs,No generic batch-render service/lab hub yet.
Project Audit & Authoring Lab,Batch-create assets from text/CSV/table input,Yet to implement,High,High,Authoring automation,No batch SO importer found,Future SO lab feature.
Project Audit & Authoring Lab,Bulk Rename,Partially implemented,High,Medium,Scene authoring productivity,BulkRenameWindow.cs,Preview/apply exists; legacy Tools/RenameTool alias remains.
Project Audit & Authoring Lab,Component Tuning Copy,Partially implemented,High,Medium,Authoring productivity,ComponentTuningCopyWindow.cs,Dry-run/copy modes; could use deeper docs and adapter recipes.
Project Audit & Authoring Lab,Coverage Matrix,Partially implemented,Medium,Medium,Authoring QA,PungentCoverageMatrixWindow.cs and shared scan models,Coverage matrix remains useful; still not a formal Visualization Lab widget.
Project Audit & Authoring Lab,Dependency previews for generated/validated assets,Yet to implement,Medium,High,Authoring safety,No dependency graph preview found,Could link with Visualization Lab.
Project Audit & Authoring Lab,Design-audit issue to note/backlog bridge,Fully implemented,High,Medium,Audit follow-up workflow,PungentNoteAuditIssueBridge.cs,Design audit issues can be converted into actionable notes/follow-ups.
Project Audit & Authoring Lab,Feature inventory/import to notes backlog,Partially implemented,High,High,Backlog migration / planning,PungentNoteInventoryImporter.cs; PungentNoteImportSources.cs; PungentNoteBacklogSeeder.cs,Curated seeds and import source tracking exist. Needs validation on current inventory CSV and duplicate handling workflow.
Project Audit & Authoring Lab,Future utility record model,Partially implemented,High,Medium,Roadmap tracking,PungentNoteModels.cs; PungentNoteBacklogSeedModels.cs,"Future utility records exist and can be linked to notes, utilities, status, priority, tags, and implementation status. Not yet integrated with registry descriptors as first-class future utilities."
Project Audit & Authoring Lab,Notes & Roadmap workspace,Partially implemented,Critical,High,"Planning, audit follow-up, feature backlog, documentation",PungentNotesRoadmapWindow.cs plus Notes subsystem files,"Large new workspace tracks notes, future utilities, status, priority, tags, linked utilities, audit issues, imports, and contextual targets. Needs user testing and documentation replacement."
Project Audit & Authoring Lab,Notes context menus and inspector integration,Partially implemented,High,Medium,Context-aware documentation,PungentNoteContextMenus.cs; PungentNoteInspectorIntegration.cs; PungentNoteContextResolver.cs,Asset/GameObject/property note creation and viewing are implemented. Needs broad inspector compatibility validation.
Project Audit & Authoring Lab,Notes scene overlay / surface display,Scaffolded,Medium,High,Scene documentation/annotations,PungentNoteSceneOverlay.cs; PungentNoteSurfaceGUI.cs,Overlay/surface GUI hooks exist but need formal overlay integration and usability testing.
Project Audit & Authoring Lab,Persistent notes database and storage,Fully implemented,High,Medium,Project metadata persistence,PungentNoteDatabase.cs; PungentNoteStorage.cs,Notes and future utility records persist under ProjectSettings/PungentFunkUtilities/NotesAndRoadmap.asset via ScriptableSingleton.
Project Audit & Authoring Lab,Persistent token database and bindings,Fully implemented,High,Medium,Text/content metadata validation,PungentTokenDatabase.cs; PungentTokenModels.cs; PungentTokenStorage.cs,"Tokens, bindings, archive/deprecate state, examples, allowed contexts, note links, audit issue links, and future utility links are persisted."
Project Audit & Authoring Lab,Reference Assignment Scanner,Partially implemented,High,High,Generic project QA,ReferenceAssignmentScannerWindow.cs,Strong tool; monolithic and uses broad scans/resources.
Project Audit & Authoring Lab,ScriptableObject generator profile/module base/folder routing,Yet to implement,High,High,SO-heavy project automation,No SO lab files found,Future high-value lab.
Project Audit & Authoring Lab,ScriptableObject validation rules/scanning/repair,Yet to implement,High,High,SO QA,No SO lab files found,"Should extract patterns, not game-specific ability/gacha tools."
Project Audit & Authoring Lab,Terrain Usage Scanner,Partially implemented,High,High,Generic project QA,TerrainUsageScannerWindow.cs,Strong tool; monolithic and scan/cache infra not shared.
Project Audit & Authoring Lab,Token Validator,Fully implemented,Medium,Medium,Text/content QA,"PungentTokenValidatorWindow.cs plus PungentTokenDatabase, Parser, Storage, ValidatorService, GUI, LinkPopup, ContextMenus","Token validation has expanded into a persistent token database, bindings, parser, notes validation, and context-linking workflow."
Project Audit & Authoring Lab,Token link popup and context menus,Fully implemented,Medium,Medium,Context-aware token authoring,PungentTokenContextMenus.cs; PungentTokenLinkPopup.cs; PungentTokenContextResolver.cs,Assets and GameObjects can be linked to tokens from context menus; popup exists for binding creation.
Project Audit & Authoring Lab,"Token parser, validator service, and usage scanning",Fully implemented,High,Medium,Text/content QA,PungentTokenParser.cs; PungentTokenValidatorService.cs,"Brace-token parsing, preview resolution, text validation, notes validation, definition validation, and binding validation are implemented."
Project Audit & Authoring Lab,Tooltip Notes Browser,Partially implemented,Medium,Medium,Documentation/authoring aid,PungentNotesRoadmapWindow.cs and Notes subsystem files; PungentTooltipNotesBrowserWindow.cs retained,"The old tooltip notes concept has expanded into a Notes & Roadmap workspace with storage, filtering, context menus, imports, audit links, and future utility records. Legacy Tooltip Notes Browser remains for compatibility."
Content Generation Lab,Generic token/text/content generation beyond names,Yet to implement,Medium,High,Future content tools,No broader generator framework found,Mentioned in future lab structure.
Content Generation Lab,MadLibNameList asset,Fully implemented,Medium,Medium,Content generation core,Name Generator/MadLibNameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Mad-Lib Name List.
Content Generation Lab,Name Generator window,Partially implemented,Medium,Medium,Content generation UI,NameGeneratorWindow.cs,Functional but monolithic-ish; future content/token generation not present.
Content Generation Lab,Name presets assets,Fully implemented,Low,Low,Convenience content,Name Generator/Name Presets/*.asset,Boy/girl/nonbinary/community/last names present.
Content Generation Lab,NameList asset,Fully implemented,Medium,Low,Content generation core,Name Generator/NameList.cs,Now uses namespace PungentFunk.Utilities.Content and standard CreateAssetMenu root PungentFunk Utilities/Content Generation/Name List.
UI & Feedback Lab,Floating Text System,Yet to implement,Medium,Medium,Feedback runtime,No floating text files found,Planned future module.
UI & Feedback Lab,Generic progress/resource VisualElements,Yet to implement,Medium,Medium,Runtime UI widgets,No runtime visual elements found,Planned future item.
UI & Feedback Lab,Input prompt preview window/editor,Yet to implement,Medium,Medium,Authoring UX,Only auto-fill window exists,Planned UI lab expansion.
UI & Feedback Lab,InputPromptIconLibraryAutoFill editor tool,Partially implemented,High,Medium,Current UI lab seed,InputPromptIconLibraryAutoFill.cs,Editor-only populator exists; relies on serialized names rather than runtime model.
UI & Feedback Lab,Popup Notification System,Yet to implement,Medium,Medium,Feedback runtime,No popup notification files found,Planned future module.
UI & Feedback Lab,Radar/Spider Graph VisualElement,Yet to implement,Low,Medium,Visualization/UI widget,No VisualElement graph found,Planned future UI/Visualization item.
UI & Feedback Lab,Right-click Context Menu runtime/editor helper,Yet to implement,Medium,Medium,UI foundation,No generic context menu helper found,Planned future module.
UI & Feedback Lab,Runtime PungentInputPromptIconLibrary,Yet to implement,High,Medium,Input prompt runtime core,No runtime input prompt files found,Planned next UI lab start.
UI & Feedback Lab,Runtime input prompt resolver/token/presenter,Yet to implement,High,High,Input prompt runtime core,No resolver/token/presenter found,Should remain layout-agnostic and Input System optional/guarded.
UI & Feedback Lab,Tooltip Presenter,Yet to implement,Medium,Medium,Feedback runtime,Tooltip notes browser is editor-only,Runtime presenter absent.
UI & Feedback Lab,UI Animation Trigger/Profile system,Yet to implement,Medium,High,Feedback authoring,No animation profile files found,Planned future module.
UI & Feedback Lab,World Prompt Registry/Presenter,Yet to implement,Medium,High,Reusable interaction UI,No world prompt files found,Must avoid SkiGame quest/interaction dependencies.
Environment Simulation Lab,Cloth/Particle/WindZone wind adapters,Yet to implement,Medium,Medium,Unity integration,No wind adapter files found,Planned initial editor/runtime files.
Environment Simulation Lab,Environment Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Environment Simulation Lab,Environment debugger/preview window,Yet to implement,Medium,Medium,Authoring UX,No environment debugger found,Future module.
Environment Simulation Lab,Local environment volumes,Yet to implement,Medium,High,Scene simulation,No local volume files found,Future module.
Environment Simulation Lab,PungentWindController core,Yet to implement,High,High,Next new lab candidate,No Environment/Wind files found,Recommended next major non-placement suite.
Environment Simulation Lab,RenderSettings/URP/skybox/particle/cloud adapters,Yet to implement,Medium,Very High,Optional integrations,No environment adapters found,Must be optional/bridge-based.
Environment Simulation Lab,Surface condition broadcaster,Yet to implement,High,High,Placement/audio/gameplay bridge,No broadcaster files found,Future module.
Environment Simulation Lab,Time & Calendar core,Yet to implement,Medium,High,Reusable simulation service,No time/calendar files found,Planned later module.
Environment Simulation Lab,Weather preset system/transitions,Yet to implement,High,High,Reusable environment authoring,No weather preset files found,"Should use adapters, not old WeatherController directly."
Environment Simulation Lab,Wind Lab window/controller editor,Yet to implement,Medium,Medium,Authoring UX,No wind lab window/editor found,Planned initial editor files.
Environment Simulation Lab,Wind source/weather/time interfaces,Yet to implement,High,Medium,Adapter-friendly environment core,No IPungentWindSource/IPungentWeatherSource/IPungentTimeSource found,Planned in implementation brief.
Save & Settings Lab,Generic settings profile,Yet to implement,High,Medium,Runtime infrastructure,No settings profile/service files found,Future lab.
Save & Settings Lab,Input binding override storage,Yet to implement,High,Medium,Input/UI bridge,No binding storage found,Future lab; should remain generic.
Save & Settings Lab,JSON storage utility/versioning,Yet to implement,High,Medium,Persistence infrastructure,No JSON storage utility found,Future lab.
Save & Settings Lab,Save & Settings Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Save & Settings Lab,Save slot manifest/service,Yet to implement,Medium,High,Persistence infrastructure,No save slot service found,Future lab.
Save & Settings Lab,Settings service,Yet to implement,High,High,Runtime infrastructure,No settings service found,Future lab.
Action / Ability Authoring Lab,Action / Ability Authoring Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Action / Ability Authoring Lab,Action conditions/effects/targeting,Yet to implement,High,Very High,Future reusable gameplay authoring,No generic action condition/effect files found,Future lab.
Action / Ability Authoring Lab,Generic action sequence framework,Yet to implement,High,Very High,Future reusable gameplay authoring,No action framework files found,"Should be inspired by ability/hazard systems, not directly ported."
Action / Ability Authoring Lab,Generic projectile/status/hazard modules,Yet to implement,Medium,Very High,Future gameplay authoring,No modules found,Only if redesigned generically.
Combat Move Resolver Lab,MoveDefinition / MoveResolver / ComboState / StyleMeter / context flags,Yet to implement,Medium,High,Future action/trick/combat abstraction,No move resolver files found,Lower priority.
Appearance Lab,Appearance catalog validator,Yet to implement,Medium,Medium,Authoring QA,No validator found,Future authoring tool.
Appearance Lab,Generic appearance option assets/catalog,Yet to implement,Medium,High,Character/customization tooling,No appearance catalog files found,Could link to prefab icon generator and Colour Lab.
Appearance Lab,Wearable attachment/material-color options/option generator,Yet to implement,Medium,High,Customization authoring,No appearance generator files found,Keep shop/progression as project adapters.
Agent Simulation Lab,Agent Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Agent Simulation Lab,Generic needs/traits/emotions/interaction scoring,Yet to implement,Medium,Very High,Generic simulation tools,No agent/social files found,"Informed by NPC plans, not ported directly."
Agent Simulation Lab,Social group based generic NPC behaviour improvements,Yet to implement,Medium,Very High,Simulation/authoring,No social group files found,Prior SkiGame NPC work should remain project adapter/inspiration.
Agent Simulation Lab,Utility AI/state/evaluator framework,Yet to implement,Medium,Very High,Generic simulation tools,No agent files found,Must avoid direct NPC/dialogue/quest dependencies.
Visualization Lab,3D point cloud previews,Yet to implement,Low,High,Advanced visualization,No point cloud preview found,Future visualization idea.
Visualization Lab,Radar graphs,Yet to implement,Low,Medium,UI/visualization,No radar graph files found,Could serve UI Feedback Lab.
Visualization Lab,Reusable matrix/graph/heatmap/coverage visualizers,Scaffolded,High,High,Shared UI infrastructure,"CoverageMatrix, palette analysis, texture preview, placement heatmap concepts",No formal visualization lab/shared widget library yet.
Visualization Lab,Visualization Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
