Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
UI & Feedback Lab,Generic progress/resource VisualElements,Yet to implement,Medium,Medium,Runtime UI widgets,No runtime visual elements found,Planned future item.
Environment Simulation Lab,PungentWindController core,Yet to implement,High,High,Next new lab candidate,No Environment/Wind files found,Recommended next major non-placement suite.
Environment Simulation Lab,Wind source/weather/time interfaces,Yet to implement,High,Medium,Adapter-friendly environment core,No IPungentWindSource/IPungentWeatherSource/IPungentTimeSource found,Planned in implementation brief.
Environment Simulation Lab,Cloth/Particle/WindZone wind adapters,Yet to implement,Medium,Medium,Unity integration,No wind adapter files found,Planned initial editor/runtime files.
Environment Simulation Lab,Wind Lab window/controller editor,Yet to implement,Medium,Medium,Authoring UX,No wind lab window/editor found,Planned initial editor files.
Environment Simulation Lab,Time & Calendar core,Yet to implement,Medium,High,Reusable simulation service,No time/calendar files found,Planned later module.
Environment Simulation Lab,Weather preset system/transitions,Yet to implement,High,High,Reusable environment authoring,No weather preset files found,"Should use adapters, not old WeatherController directly."
Environment Simulation Lab,Surface condition broadcaster,Yet to implement,High,High,Placement/audio/gameplay bridge,No broadcaster files found,Future module.
Environment Simulation Lab,Local environment volumes,Yet to implement,Medium,High,Scene simulation,No local volume files found,Future module.
Environment Simulation Lab,Environment debugger/preview window,Yet to implement,Medium,Medium,Authoring UX,No environment debugger found,Future module.
Environment Simulation Lab,RenderSettings/URP/skybox/particle/cloud adapters,Yet to implement,Medium,Very High,Optional integrations,No environment adapters found,Must be optional/bridge-based.
Save & Settings Lab,Generic settings profile,Yet to implement,High,Medium,Runtime infrastructure,No settings profile/service files found,Future lab.
Save & Settings Lab,Settings service,Yet to implement,High,High,Runtime infrastructure,No settings service found,Future lab.
Save & Settings Lab,JSON storage utility/versioning,Yet to implement,High,Medium,Persistence infrastructure,No JSON storage utility found,Future lab.
Save & Settings Lab,Save slot manifest/service,Yet to implement,Medium,High,Persistence infrastructure,No save slot service found,Future lab.
Save & Settings Lab,Input binding override storage,Yet to implement,High,Medium,Input/UI bridge,No binding storage found,Future lab; should remain generic.
Action / Ability Authoring Lab,Generic action sequence framework,Yet to implement,High,Very High,Future reusable gameplay authoring,No action framework files found,"Should be inspired by ability/hazard systems, not directly ported."
Action / Ability Authoring Lab,Action conditions/effects/targeting,Yet to implement,High,Very High,Future reusable gameplay authoring,No generic action condition/effect files found,Future lab.
Action / Ability Authoring Lab,Generic projectile/status/hazard modules,Yet to implement,Medium,Very High,Future gameplay authoring,No modules found,Only if redesigned generically.
Combat Move Resolver Lab,MoveDefinition / MoveResolver / ComboState / StyleMeter / context flags,Yet to implement,Medium,High,Future action/trick/combat abstraction,No move resolver files found,Lower priority.
Appearance Lab,Generic appearance option assets/catalog,Yet to implement,Medium,High,Character/customization tooling,No appearance catalog files found,Could link to prefab icon generator and Colour Lab.
Appearance Lab,Wearable attachment/material-color options/option generator,Yet to implement,Medium,High,Customization authoring,No appearance generator files found,Keep shop/progression as project adapters.
Appearance Lab,Appearance catalog validator,Yet to implement,Medium,Medium,Authoring QA,No validator found,Future authoring tool.
Agent Simulation Lab,Utility AI/state/evaluator framework,Yet to implement,Medium,Very High,Generic simulation tools,No agent files found,Must avoid direct NPC/dialogue/quest dependencies.
Agent Simulation Lab,Generic needs/traits/emotions/interaction scoring,Yet to implement,Medium,Very High,Generic simulation tools,No agent/social files found,"Informed by NPC plans, not ported directly."
Agent Simulation Lab,Social group based generic NPC behaviour improvements,Yet to implement,Medium,Very High,Simulation/authoring,No social group files found,Prior SkiGame NPC work should remain project adapter/inspiration.
Visualization Lab,Reusable matrix/graph/heatmap/coverage visualizers,Scaffolded,High,High,Shared UI infrastructure,"CoverageMatrix, palette analysis, texture preview, placement heatmap concepts",No formal visualization lab/shared widget library yet.
Visualization Lab,3D point cloud previews,Yet to implement,Low,High,Advanced visualization,No point cloud preview found,Future visualization idea.
Visualization Lab,Radar graphs,Yet to implement,Low,Medium,UI/visualization,No radar graph files found,Could serve UI Feedback Lab.
Core / Architecture,Design Validation Audit window,Fully implemented,Critical,Medium,Architecture QA gate,"PungentUtilityDesignAudit.cs, PungentUtilityDesignAuditWindow.cs","New core utility validates package design-bible signals: namespaces, asmdefs, registry descriptors, EditorWindow layout markers, menus, CreateAssetMenu roots, docs links, and issue summary export."
Core / Architecture,Bundled architecture/inventory documentation inside package,Partially implemented,High,Low,Documentation/release support,"PungentFunkUtilities/Documentation/*.pdf, *.md, *.csv",Documentation assets are bundled and can be opened from Design Audit. They must be regenerated after each audit because the bundled copies were outdated relative to the current zip.
Core / Architecture,Runtime/editor asmdef separation,Partially implemented,Critical,Medium,Export hardening,"PungentFunk.Utilities.Runtime.asmdef, PungentFunk.Utilities.Editor.asmdef",Core bundle-level separation now exists; ModularPathSpawner still contains UnityEditor references behind UNITY_EDITOR and TMP still needs optional dependency treatment.
Core / Architecture,Registry related-utility links,Fully implemented,High,Low,Cross-lab discoverability,"PungentUtilityDescriptor.RelatedUtilityIds, PungentUtilityRegistry.RelatedUtilities, Control Panel related tool drawing",Central registry can expose companion/related tools without hard dependencies.
Core / Architecture,Cached editor-window type resolution,Fully implemented,High,Medium,Launcher stability/performance,"PungentUtilityDescriptor.ResolveWindowType, PungentEditorPerformanceUtility.ResolveTypeCached",Descriptor opening no longer relies only on raw type strings and records fallback scans.
Asset Placement Lab,Asset Placement Lab hub/window,Partially implemented,Critical,High,Placement lab core,Editor/Asset Placement Lab/AssetPlacementLabWindow.cs,Registered as In Progress and expanded to a 666-line lab hub; still missing planned surface brush/socket graph/cluster/drop/connector/bounds-fill modules.
Colour Lab,Colour palette asset,Fully implemented,High,Medium,Package architecture,Palette Designer/PungentColourPaletteSO.cs,Now uses namespace PungentFunk.Utilities.Colour and standard CreateAssetMenu root PungentFunk Utilities/Colour/Palette.
Environment Simulation Lab,Environment Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Save & Settings Lab,Save & Settings Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Action / Ability Authoring Lab,Action / Ability Authoring Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Agent Simulation Lab,Agent Simulation Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
Visualization Lab,Visualization Lab shell,Scaffolded,High,High,Future lab taxonomy,PungentUtilityLabs planned constants only,"Lab names/descriptions/sort keys exist in PungentUtilityLabs, but no runtime/editor implementation files for this lab yet."
